sku,grade_band,internal_difficulty,customer_facing_level,target_user,buyer,purpose,goal,launch_phase,portfolio_role,claim_safety
BK-EL-MIX-EASY-01,ประถมต้น,EASY,EASY,เด็กประถมต้นที่เริ่มซูโดกุหรือยังไม่มั่นใจพื้นฐาน,ผู้ปกครอง / ครูประถม,สร้างพื้นฐานที่ถูกต้อง ความมั่นใจ และนิสัยการแก้โจทย์อย่างเป็นระบบ,ทำโจทย์พื้นฐานได้ต่อเนื่องโดยไม่รู้สึกยากเกินไป,PILOT,ENTRY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-EL-MIX-MEDIUM-01,ประถมต้น,MEDIUM,MEDIUM,เด็กประถมต้นที่ผ่านพื้นฐานและต้องการฝึกให้คล่อง,ผู้ปกครอง / ครูประถม,"เพิ่ม fluency, consistency และความแม่นจากพื้นฐานที่มีอยู่",แก้โจทย์ได้คล่องขึ้นและลดความผิดพลาด,PHASE_2,PROGRESSION,No official claim; no real-exam claim; no guaranteed outcome claim
BK-EL-MIX-HARD-01,ประถมต้น,HARD,HARD,เด็กประถมต้นที่ทำโจทย์พื้นฐานได้คล่องและต้องการโจทย์ท้าทายขึ้น,ผู้ปกครอง / ครูประถม / ชมรม,"ฝึก multi-step reasoning, constraint tracking และความแม่นภายใต้โจทย์ที่ท้าทายขึ้น",รับมือโจทย์ซับซ้อนได้อย่างมีระบบ,PHASE_2,CHALLENGE,No official claim; no real-exam claim; no guaranteed outcome claim
BK-EL-MIX-EXPERT-01,ประถมต้น,EXPERT,EXPERT,เด็กประถมต้นที่มีทักษะสูงและต้องการฝึกตรรกะเข้มข้น,ผู้ปกครอง / ครูผู้ฝึกซ้อม / ชมรม,"พัฒนา advanced reasoning, endurance และการวางแผนหลายขั้น",เพิ่มความพร้อมสำหรับโจทย์ระดับสูงและการฝึกเชิงแข่งขัน,PHASE_2,ADVANCED,No official claim; no real-exam claim; no guaranteed outcome claim
BK-EL-MIX-DEVIL-01,ประถมต้น,DEVIL,GRANDMASTER,เด็กประถมต้นที่มีทักษะสูงมากและต้องการโจทย์ระดับ mastery,ผู้ปกครอง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกระดับ mastery ด้วยโจทย์เข้มข้นและความซับซ้อนสูง,ทดสอบขีดความสามารถและรักษาความแม่นในโจทย์ระดับสูงสุด,PHASE_2,MASTERY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-UP-MIX-EASY-01,ประถมปลาย,EASY,EASY,เด็กประถมปลายที่เริ่มฝึก 9x9 อย่างเป็นระบบ,ผู้ปกครอง / ครูคณิต,สร้างพื้นฐานที่ถูกต้อง ความมั่นใจ และนิสัยการแก้โจทย์อย่างเป็นระบบ,ทำโจทย์พื้นฐานได้ต่อเนื่องโดยไม่รู้สึกยากเกินไป,PHASE_2,ENTRY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-UP-MIX-MEDIUM-01,ประถมปลาย,MEDIUM,MEDIUM,เด็กประถมปลายที่มีพื้นฐาน 9x9 และต้องการเพิ่มความคล่อง,ผู้ปกครอง / ครูคณิต,"เพิ่ม fluency, consistency และความแม่นจากพื้นฐานที่มีอยู่",แก้โจทย์ได้คล่องขึ้นและลดความผิดพลาด,PILOT,PROGRESSION,No official claim; no real-exam claim; no guaranteed outcome claim
BK-UP-MIX-HARD-01,ประถมปลาย,HARD,HARD,เด็กประถมปลายที่ต้องการเพิ่มความแม่นและรับมือ variant ที่ยากขึ้น,ผู้ปกครอง / ครูคณิต / ชมรม,"ฝึก multi-step reasoning, constraint tracking และความแม่นภายใต้โจทย์ที่ท้าทายขึ้น",รับมือโจทย์ซับซ้อนได้อย่างมีระบบ,PHASE_2,CHALLENGE,No official claim; no real-exam claim; no guaranteed outcome claim
BK-UP-MIX-EXPERT-01,ประถมปลาย,EXPERT,EXPERT,เด็กประถมปลายที่มีทักษะสูงและเริ่มฝึกเชิงแข่งขัน,ผู้ปกครอง / ครูผู้ฝึกซ้อม / ชมรม,"พัฒนา advanced reasoning, endurance และการวางแผนหลายขั้น",เพิ่มความพร้อมสำหรับโจทย์ระดับสูงและการฝึกเชิงแข่งขัน,PHASE_2,ADVANCED,No official claim; no real-exam claim; no guaranteed outcome claim
BK-UP-MIX-DEVIL-01,ประถมปลาย,DEVIL,GRANDMASTER,เด็กประถมปลายที่มีทักษะสูงมากและต้องการโจทย์ระดับ mastery/competition-oriented,ผู้ปกครอง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกระดับ mastery ด้วยโจทย์เข้มข้นและความซับซ้อนสูง,ทดสอบขีดความสามารถและรักษาความแม่นในโจทย์ระดับสูงสุด,PHASE_2,MASTERY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-LS-MIX-EASY-01,มัธยมต้น,EASY,EASY,นักเรียนมัธยมต้นที่เริ่มฝึกซูโดกุ 9x9 และ variants อย่างเป็นระบบ,ผู้ปกครอง / ครู / ชมรม,สร้างพื้นฐานที่ถูกต้อง ความมั่นใจ และนิสัยการแก้โจทย์อย่างเป็นระบบ,ทำโจทย์พื้นฐานได้ต่อเนื่องโดยไม่รู้สึกยากเกินไป,PHASE_2,ENTRY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-LS-MIX-MEDIUM-01,มัธยมต้น,MEDIUM,MEDIUM,นักเรียนมัธยมต้นที่ต้องการเพิ่ม fluency และ consistency,ผู้ปกครอง / ครู / ชมรม,"เพิ่ม fluency, consistency และความแม่นจากพื้นฐานที่มีอยู่",แก้โจทย์ได้คล่องขึ้นและลดความผิดพลาด,PHASE_2,PROGRESSION,No official claim; no real-exam claim; no guaranteed outcome claim
BK-LS-MIX-HARD-01,มัธยมต้น,HARD,HARD,นักเรียนมัธยมต้นที่ฝึกจริงจังและต้องการ multi-step reasoning,ครูผู้ฝึกซ้อม / ชมรม / ผู้ปกครอง,"ฝึก multi-step reasoning, constraint tracking และความแม่นภายใต้โจทย์ที่ท้าทายขึ้น",รับมือโจทย์ซับซ้อนได้อย่างมีระบบ,PILOT,CHALLENGE,No official claim; no real-exam claim; no guaranteed outcome claim
BK-LS-MIX-EXPERT-01,มัธยมต้น,EXPERT,EXPERT,นักเรียนมัธยมต้นระดับสูงและผู้เล่นที่เตรียมแข่งขัน,ครูผู้ฝึกซ้อม / ชมรม / โรงเรียน,"พัฒนา advanced reasoning, endurance และการวางแผนหลายขั้น",เพิ่มความพร้อมสำหรับโจทย์ระดับสูงและการฝึกเชิงแข่งขัน,PHASE_2,ADVANCED,No official claim; no real-exam claim; no guaranteed outcome claim
BK-LS-MIX-DEVIL-01,มัธยมต้น,DEVIL,GRANDMASTER,นักเรียนมัธยมต้นระดับ mastery และผู้เล่น competition-oriented,ครูผู้ฝึกซ้อม / ชมรม / โรงเรียน,ฝึกระดับ mastery ด้วยโจทย์เข้มข้นและความซับซ้อนสูง,ทดสอบขีดความสามารถและรักษาความแม่นในโจทย์ระดับสูงสุด,PHASE_2,MASTERY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-US-MIX-EASY-01,มัธยมปลาย,EASY,EASY,นักเรียนมัธยมปลายหรือผู้ใหญ่ที่เริ่มฝึกซูโดกุหลายรูปแบบอย่างเป็นระบบ,นักเรียน / ผู้ใหญ่สาย puzzle / ครู,สร้างพื้นฐานที่ถูกต้อง ความมั่นใจ และนิสัยการแก้โจทย์อย่างเป็นระบบ,ทำโจทย์พื้นฐานได้ต่อเนื่องโดยไม่รู้สึกยากเกินไป,PHASE_2,ENTRY,No official claim; no real-exam claim; no guaranteed outcome claim
BK-US-MIX-MEDIUM-01,มัธยมปลาย,MEDIUM,MEDIUM,นักเรียนมัธยมปลายหรือผู้ใหญ่ที่ต้องการเพิ่มความคล่องและความแม่น,นักเรียน / ผู้ใหญ่สาย puzzle / ครู,"เพิ่ม fluency, consistency และความแม่นจากพื้นฐานที่มีอยู่",แก้โจทย์ได้คล่องขึ้นและลดความผิดพลาด,PHASE_2,PROGRESSION,No official claim; no real-exam claim; no guaranteed outcome claim
BK-US-MIX-HARD-01,มัธยมปลาย,HARD,HARD,ผู้เล่นมัธยมปลายที่ฝึกจริงจังและต้องการ advanced reasoning,นักเรียน / ทีมแข่งขัน / ชมรม,"ฝึก multi-step reasoning, constraint tracking และความแม่นภายใต้โจทย์ที่ท้าทายขึ้น",รับมือโจทย์ซับซ้อนได้อย่างมีระบบ,PHASE_2,CHALLENGE,No official claim; no real-exam claim; no guaranteed outcome claim
BK-US-MIX-EXPERT-01,มัธยมปลาย,EXPERT,EXPERT,ผู้เล่นขั้นสูงที่เน้น endurance และ advanced variants,นักเรียน / ทีมแข่งขัน / ชมรม / ผู้ใหญ่สาย puzzle,"พัฒนา advanced reasoning, endurance และการวางแผนหลายขั้น",เพิ่มความพร้อมสำหรับโจทย์ระดับสูงและการฝึกเชิงแข่งขัน,PILOT,ADVANCED,No official claim; no real-exam claim; no guaranteed outcome claim
BK-US-MIX-DEVIL-01,มัธยมปลาย,DEVIL,GRANDMASTER,ผู้เล่นระดับ mastery/competition-oriented ที่ต้องการความท้าทายสูงสุด,ทีมแข่งขัน / ชมรม / ผู้เล่นขั้นสูง / ผู้ใหญ่สาย puzzle,ฝึกระดับ mastery ด้วยโจทย์เข้มข้นและความซับซ้อนสูง,ทดสอบขีดความสามารถและรักษาความแม่นในโจทย์ระดับสูงสุด,PHASE_2,MASTERY,No official claim; no real-exam claim; no guaranteed outcome claim
CP-EL-NAT-COMP-01,ประถมต้น,MIXED,CUSTOM / ALL LEVELS,นักเรียนประถมต้นที่ต้องการฝึกเป็นระบบเพื่อเตรียมสู่สนามแข่งขัน,ผู้ปกครอง / ครูผู้ฝึกซ้อม / โรงเรียน / ชมรม / ทีมแข่งขัน,ฝึกหลายชนิดซูโดกุและหลายระดับความยากอย่างเป็นระบบตาม training mix ที่กำหนดสำหรับการเตรียมแข่งขัน,เพิ่มความพร้อม ความเร็ว ความแม่น และประสบการณ์กับรูปแบบโจทย์ที่เกี่ยวข้องกับการฝึกแข่งขัน โดยไม่อ้างว่าเป็นข้อสอบจริงหรือ official set,PHASE_3,COMPETITION / PREMIUM CUSTOM,Use training/preparation wording only; do not claim exhaustive official coverage unless current rulebook is verified; no real-exam claim; no guaranteed result
